0.450000 1.277968 2.772010 0.001665 
0.500000 1.062262 1.784129 0.001336 
0.550000 0.893964 1.106408 0.001052 
0.600000 0.775775 0.708335 0.000842 
0.650000 0.692058 0.463516 0.000681 
0.700000 0.633574 0.304453 0.000552 
0.750000 0.582382 0.178897 0.000423 
0.800000 0.548816 0.104489 0.000323 
0.850000 0.527701 0.054967 0.000234 
0.900000 0.511182 0.022548 0.000150 
0.950000 0.502364 0.005290 0.000073 
1.000000 0.500000 0.000000 0.000000 
1.050000 0.501925 0.004908 0.000070 
1.100000 0.509755 0.018086 0.000134 
1.150000 0.520973 0.039379 0.000198 
1.200000 0.533837 0.068918 0.000263 
1.250000 0.551564 0.105028 0.000324 
1.300000 0.569648 0.153437 0.000392 
1.350000 0.590608 0.206316 0.000454 
1.400000 0.619483 0.258996 0.000509 
