0.450000 1.281497 2.820519 0.001679 
0.500000 1.065728 1.767161 0.001329 
0.550000 0.907632 1.144116 0.001070 
0.600000 0.778484 0.728813 0.000854 
0.650000 0.693250 0.467616 0.000684 
0.700000 0.631854 0.296072 0.000544 
0.750000 0.581179 0.182953 0.000428 
0.800000 0.550517 0.106869 0.000327 
0.850000 0.526574 0.056117 0.000237 
0.900000 0.512304 0.023140 0.000152 
0.950000 0.502026 0.005098 0.000071 
1.000000 0.500000 0.000000 0.000000 
1.050000 0.502398 0.004822 0.000069 
1.100000 0.509521 0.018162 0.000135 
1.150000 0.519160 0.040506 0.000201 
1.200000 0.532813 0.070631 0.000266 
1.250000 0.548055 0.109648 0.000331 
1.300000 0.572444 0.149195 0.000386 
1.350000 0.594642 0.201389 0.000449 
1.400000 0.617139 0.261779 0.000512 
