0.450000 1.275263 2.801918 0.005293 
0.500000 1.041383 1.601243 0.004002 
0.550000 0.900001 1.174055 0.003426 
0.600000 0.773387 0.672812 0.002594 
0.650000 0.705926 0.465181 0.002157 
0.700000 0.642288 0.306374 0.001750 
0.750000 0.593807 0.195897 0.001400 
0.800000 0.546186 0.098273 0.000991 
0.850000 0.527864 0.056639 0.000753 
0.900000 0.515217 0.024615 0.000496 
0.950000 0.501443 0.004839 0.000220 
1.000000 0.500000 0.000000 0.000000 
1.050000 0.503729 0.004794 0.000219 
1.100000 0.510114 0.018335 0.000428 
1.150000 0.521904 0.038672 0.000622 
1.200000 0.534455 0.069214 0.000832 
1.250000 0.552415 0.102313 0.001011 
1.300000 0.569129 0.149147 0.001221 
1.350000 0.594866 0.195685 0.001399 
1.400000 0.618376 0.265561 0.001630 
